"origin" "uniprot" "protein" "description"
"760" "sp" "Q9UBM4" "OPT" " Opticin OS=Homo sapiens OX=9606 GN=OPTC PE=1 SV=1"
"761" "tr" "A0A6Q8PFQ6" "A0A6Q8PFQ6" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"762" "sp" "A2RU48" "SMCO3" " Single-pass membrane and coiled-coil domain-containing protein 3 OS=Homo sapiens OX=9606 GN=SMCO3 PE=1 SV=1"
"763" "sp" "P59991" "KR122" " Keratin-associated protein 12-2 OS=Homo sapiens OX=9606 GN=KRTAP12-2 PE=1 SV=1"
"764" "sp" "Q6L8H4" "KRA51" " Keratin-associated protein 5-1 OS=Homo sapiens OX=9606 GN=KRTAP5-1 PE=1 SV=1"
"765" "sp" "Q9H3R2" "MUC13" " Mucin-13 OS=Homo sapiens OX=9606 GN=MUC13 PE=1 SV=3"
"766" "sp" "Q9NX63" "MIC19" " MICOS complex subunit MIC19 OS=Homo sapiens OX=9606 GN=CHCHD3 PE=1 SV=1"
"767" "sp" "P05204" "HMGN2" " Non-histone chromosomal protein HMG-17 OS=Homo sapiens OX=9606 GN=HMGN2 PE=1 SV=3"
"768" "sp" "A0A0U1RQS6" "TM275" " Transmembrane protein 275 OS=Homo sapiens OX=9606 GN=TMEM275 PE=3 SV=1"
"769" "tr" "A0A140TA64" "A0A140TA64" " Uncharacterized protein OS=Homo sapiens OX=9606 GN=LOC100996750 PE=1 SV=1"
"770" "tr" "A0A6Q8PHA8" "A0A6Q8PHA8" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"771" "sp" "B3EWG3" "FM25A" " Protein FAM25A OS=Homo sapiens OX=9606 GN=FAM25A PE=3 SV=1"
"772" "sp" "O75177" "CREST" " Calcium-responsive transactivator OS=Homo sapiens OX=9606 GN=SS18L1 PE=1 SV=2"
"773" "sp" "P0DMR1" "HNRC4" " Heterogeneous nuclear ribonucleoprotein C-like 4 OS=Homo sapiens OX=9606 GN=HNRNPCL4 PE=3 SV=1"
"774" "sp" "P11161" "EGR2" " E3 SUMO-protein ligase EGR2 OS=Homo sapiens OX=9606 GN=EGR2 PE=1 SV=3"
"775" "sp" "P30954" "O10J1" " Olfactory receptor 10J1 OS=Homo sapiens OX=9606 GN=OR10J1 PE=2 SV=2"
"776" "sp" "Q3LI67" "KRA63" " Keratin-associated protein 6-3 OS=Homo sapiens OX=9606 GN=KRTAP6-3 PE=3 SV=3"
"777" "sp" "Q5MJ07" "SPXN5" " Sperm protein associated with the nucleus on the X chromosome N5 OS=Homo sapiens OX=9606 GN=SPANXN5 PE=3 SV=1"
"778" "sp" "Q8NH08" "O10AC" " Olfactory receptor 10AC1 OS=Homo sapiens OX=9606 GN=OR10AC1 PE=3 SV=2"
"779" "tr" "A0A1W2PQU2" "A0A1W2PQU2" " KANTR integral membrane protein OS=Homo sapiens OX=9606 GN=KANTR PE=4 SV=1"
"780" "tr" "A0A804HJT0" "A0A804HJT0" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"781" "sp" "A6NC86" "PINLY" " phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein OS=Homo sapiens OX=9606 GN=PINLYP PE=2 SV=3"
"782" "sp" "A6NCE7" "MP3B2" " Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens OX=9606 GN=MAP1LC3B2 PE=1 SV=1"
"783" "sp" "Q5T7P2" "LCE1A" " Late cornified envelope protein 1A OS=Homo sapiens OX=9606 GN=LCE1A PE=1 SV=1"
"784" "sp" "Q8NGG6" "OR8BC" " Olfactory receptor 8B12 OS=Homo sapiens OX=9606 GN=OR8B12 PE=2 SV=1"
"785" "sp" "Q8WVI7" "PPR1C" " Protein phosphatase 1 regulatory subunit 1C OS=Homo sapiens OX=9606 GN=PPP1R1C PE=1 SV=1"
"786" "tr" "A0A075B6W9" "A0A075B6W9" " T cell receptor alpha joining 53 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ53 PE=4 SV=1"
"787" "sp" "A0A0A0MT78" "TJB27" " T cell receptor beta joining 2-7 OS=Homo sapiens OX=9606 GN=TRBJ2-7 PE=4 SV=2"
"788" "tr" "A0A2R8Y8B9" "A0A2R8Y8B9" " Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 GN=LOC100421372 PE=4 SV=1"
"789" "sp" "A7E2U8" "CD047" " UPF0602 protein C4orf47 OS=Homo sapiens OX=9606 GN=C4orf47 PE=2 SV=1"
"790" "sp" "O75838" "CIB2" " Calcium and integrin-binding family member 2 OS=Homo sapiens OX=9606 GN=CIB2 PE=1 SV=1"
"791" "sp" "P82979" "SARNP" " SAP domain-containing ribonucleoprotein OS=Homo sapiens OX=9606 GN=SARNP PE=1 SV=3"
"792" "sp" "Q16568" "CART" " Cocaine- and amphetamine-regulated transcript protein OS=Homo sapiens OX=9606 GN=CARTPT PE=1 SV=1"
"793" "sp" "Q52M58" "CN177" " Testis-specific protein LINC02914 OS=Homo sapiens OX=9606 GN=LINC02914 PE=1 SV=1"
"794" "sp" "Q9BTM1" "H2AJ" " Histone H2A.J OS=Homo sapiens OX=9606 GN=H2AJ PE=1 SV=1"
"795" "sp" "Q9BTT4" "MED10" " Mediator of RNA polymerase II transcription subunit 10 OS=Homo sapiens OX=9606 GN=MED10 PE=1 SV=1"
"796" "sp" "Q9NZ63" "TLS1" " Splicing factor C9orf78 OS=Homo sapiens OX=9606 GN=C9orf78 PE=1 SV=1"
"797" "tr" "A0A6Q8PHR7" "A0A6Q8PHR7" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"798" "sp" "P09661" "RU2A" " U2 small nuclear ribonucleoprotein A' OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2"
"799" "sp" "Q13522" "PPR1A" " Protein phosphatase 1 regulatory subunit 1A OS=Homo sapiens OX=9606 GN=PPP1R1A PE=1 SV=2"
"800" "sp" "Q9H299" "SH3L3" " SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens OX=9606 GN=SH3BGRL3 PE=1 SV=1"
"801" "sp" "P16401" "H15" " Histone H1.5 OS=Homo sapiens OX=9606 GN=H1-5 PE=1 SV=3"
"802" "sp" "P21941" "MATN1" " Cartilage matrix protein OS=Homo sapiens OX=9606 GN=MATN1 PE=1 SV=1"
"803" "sp" "A0A286YFG1" "SCGR8" " Small cysteine and glycine repeat-containing protein 8 OS=Homo sapiens OX=9606 GN=SCYGR8 PE=1 SV=1"
"804" "sp" "B3GLJ2" "PATE3" " Prostate and testis expressed protein 3 OS=Homo sapiens OX=9606 GN=PATE3 PE=2 SV=1"
"805" "sp" "P05412" "JUN" " Transcription factor Jun OS=Homo sapiens OX=9606 GN=JUN PE=1 SV=2"
"806" "sp" "P27449" "VATL" " V-type proton ATPase 16 kDa proteolipid subunit c OS=Homo sapiens OX=9606 GN=ATP6V0C PE=1 SV=1"
"807" "sp" "P59074" "CHM4P" " Putative charged multivesicular body protein 4B-like protein CHMP4BP1 OS=Homo sapiens OX=9606 GN=CHMP4BP1 PE=5 SV=1"
"808" "sp" "Q96G01" "BICD1" " Protein bicaudal D homolog 1 OS=Homo sapiens OX=9606 GN=BICD1 PE=1 SV=3"
"809" "sp" "Q9H0R8" "GBRL1" " Gamma-aminobutyric acid receptor-associated protein-like 1 OS=Homo sapiens OX=9606 GN=GABARAPL1 PE=1 SV=1"
"810" "sp" "P63241" "IF5A1" " Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens OX=9606 GN=EIF5A PE=1 SV=2"
"811" "sp" "Q15369" "ELOC" " Elongin-C OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1"
"812" "sp" "Q5VT28" "FAM27" " Protein FAM27A/B/C OS=Homo sapiens OX=9606 GN=FAM27C PE=3 SV=1"
"813" "sp" "Q86TE4" "LUZP2" " Leucine zipper protein 2 OS=Homo sapiens OX=9606 GN=LUZP2 PE=2 SV=2"
"814" "sp" "Q8NGM9" "OR8D4" " Olfactory receptor 8D4 OS=Homo sapiens OX=9606 GN=OR8D4 PE=2 SV=1"
"815" "sp" "Q96GE6" "CALL4" " Calmodulin-like protein 4 OS=Homo sapiens OX=9606 GN=CALML4 PE=2 SV=3"
"816" "sp" "Q99880" "H2B1L" " Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3"
"817" "sp" "Q9H840" "GEMI7" " Gem-associated protein 7 OS=Homo sapiens OX=9606 GN=GEMIN7 PE=1 SV=1"
"818" "sp" "Q9UBK9" "UXT" " Protein UXT OS=Homo sapiens OX=9606 GN=UXT PE=1 SV=1"
"819" "sp" "P0DP23" "CALM1" " Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1"
"820" "sp" "P83881" "RL36A" " 60S ribosomal protein L36a OS=Homo sapiens OX=9606 GN=RPL36A PE=1 SV=2"
"821" "sp" "Q4KMX7" "F106A" " Protein FAM106A OS=Homo sapiens OX=9606 GN=FAM106A PE=2 SV=2"
"822" "sp" "P01258" "CALC" " Calcitonin OS=Homo sapiens OX=9606 GN=CALCA PE=1 SV=3"
"823" "sp" "P09493" "TPM1" " Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2"
"824" "sp" "P12268" "IMDH2" " Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2"
"825" "sp" "Q5T292" "TM273" " Transmembrane protein 273 OS=Homo sapiens OX=9606 GN=TMEM273 PE=3 SV=1"
"826" "sp" "Q5VSR9" "SPXN1" " Sperm protein associated with the nucleus on the X chromosome N1 OS=Homo sapiens OX=9606 GN=SPANXN1 PE=3 SV=1"
"827" "sp" "Q86SE5" "RALYL" " RNA-binding Raly-like protein OS=Homo sapiens OX=9606 GN=RALYL PE=1 SV=2"
"828" "sp" "Q8WV60" "PTCD2" " Pentatricopeptide repeat-containing protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=PTCD2 PE=1 SV=3"
"829" "sp" "P02808" "STAT" " Statherin OS=Homo sapiens OX=9606 GN=STATH PE=1 SV=2"
"830" "sp" "P19876" "CXCL3" " C-X-C motif chemokine 3 OS=Homo sapiens OX=9606 GN=CXCL3 PE=1 SV=1"
"831" "sp" "P29966" "MARCS" " Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens OX=9606 GN=MARCKS PE=1 SV=4"
"832" "sp" "P59990" "KR121" " Keratin-associated protein 12-1 OS=Homo sapiens OX=9606 GN=KRTAP12-1 PE=1 SV=1"
"833" "sp" "Q13595" "TRA2A" " Transformer-2 protein homolog alpha OS=Homo sapiens OX=9606 GN=TRA2A PE=1 SV=1"
"834" "sp" "Q53H96" "P5CR3" " Pyrroline-5-carboxylate reductase 3 OS=Homo sapiens OX=9606 GN=PYCR3 PE=1 SV=3"
"835" "sp" "Q6IPR1" "ETFR1" " Electron transfer flavoprotein regulatory factor 1 OS=Homo sapiens OX=9606 GN=ETFRF1 PE=1 SV=2"
"836" "sp" "Q8IWS0" "PHF6" " PHD finger protein 6 OS=Homo sapiens OX=9606 GN=PHF6 PE=1 SV=1"
"837" "sp" "Q8N104" "D106A" " Beta-defensin 106 OS=Homo sapiens OX=9606 GN=DEFB106B PE=1 SV=1"
"838" "sp" "Q96B54" "ZN428" " Zinc finger protein 428 OS=Homo sapiens OX=9606 GN=ZNF428 PE=1 SV=2"
"839" "sp" "A0A0J9YX06" "TJB12" " T cell receptor beta joining 1-2 OS=Homo sapiens OX=9606 GN=TRBJ1-2 PE=1 SV=2"
"840" "sp" "O60356" "NUPR1" " Nuclear protein 1 OS=Homo sapiens OX=9606 GN=NUPR1 PE=1 SV=1"
"841" "sp" "Q8TCA0" "LRC20" " Leucine-rich repeat-containing protein 20 OS=Homo sapiens OX=9606 GN=LRRC20 PE=1 SV=1"
"842" "sp" "Q9Y587" "AP4S1" " AP-4 complex subunit sigma-1 OS=Homo sapiens OX=9606 GN=AP4S1 PE=1 SV=1"
"843" "sp" "A0A0J9YXM7" "TJB15" " T cell receptor beta joining 1-5 OS=Homo sapiens OX=9606 GN=TRBJ1-5 PE=4 SV=2"
"844" "sp" "P55001" "MFAP2" " Microfibrillar-associated protein 2 OS=Homo sapiens OX=9606 GN=MFAP2 PE=1 SV=1"
"845" "sp" "Q6L8G5" "KR510" " Keratin-associated protein 5-10 OS=Homo sapiens OX=9606 GN=KRTAP5-10 PE=2 SV=1"
"846" "sp" "Q7L3S4" "ZN771" " Zinc finger protein 771 OS=Homo sapiens OX=9606 GN=ZNF771 PE=1 SV=1"
"847" "sp" "Q8NH83" "OR4A5" " Olfactory receptor 4A5 OS=Homo sapiens OX=9606 GN=OR4A5 PE=3 SV=4"
"848" "sp" "Q96J86" "CYYR1" " Cysteine and tyrosine-rich protein 1 OS=Homo sapiens OX=9606 GN=CYYR1 PE=2 SV=1"
"849" "sp" "Q9P0R6" "GSKIP" " GSK3B-interacting protein OS=Homo sapiens OX=9606 GN=GSKIP PE=1 SV=2"
"850" "tr" "A0A804HID5" "A0A804HID5" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"851" "tr" "A0A8I5KPI3" "A0A8I5KPI3" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"852" "sp" "O75575" "RPC9" " DNA-directed RNA polymerase III subunit RPC9 OS=Homo sapiens OX=9606 GN=CRCP PE=1 SV=1"
"853" "sp" "P55854" "SUMO3" " Small ubiquitin-related modifier 3 OS=Homo sapiens OX=9606 GN=SUMO3 PE=1 SV=2"
"854" "sp" "P68431" "H31" " Histone H3.1 OS=Homo sapiens OX=9606 GN=H3C12 PE=1 SV=2"
"855" "sp" "Q53T59" "H1BP3" " HCLS1-binding protein 3 OS=Homo sapiens OX=9606 GN=HS1BP3 PE=1 SV=1"
"856" "sp" "Q66K89" "E4F1" " Transcription factor E4F1 OS=Homo sapiens OX=9606 GN=E4F1 PE=1 SV=2"
"857" "sp" "Q8NHR9" "PROF4" " Profilin-4 OS=Homo sapiens OX=9606 GN=PFN4 PE=1 SV=1"
"858" "sp" "Q92688" "AN32B" " Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens OX=9606 GN=ANP32B PE=1 SV=1"
"859" "sp" "Q92734" "TFG" " Protein TFG OS=Homo sapiens OX=9606 GN=TFG PE=1 SV=2"
"860" "sp" "Q99877" "H2B1N" " Histone H2B type 1-N OS=Homo sapiens OX=9606 GN=H2BC15 PE=1 SV=3"
"861" "sp" "Q9H320" "VCX1" " Variable charge X-linked protein 1 OS=Homo sapiens OX=9606 GN=VCX PE=2 SV=1"
"862" "sp" "P63162" "RSMN" " Small nuclear ribonucleoprotein-associated protein N OS=Homo sapiens OX=9606 GN=SNRPN PE=1 SV=1"
"863" "sp" "Q7Z7K0" "COXM1" " COX assembly mitochondrial protein homolog OS=Homo sapiens OX=9606 GN=CMC1 PE=1 SV=1"
"864" "sp" "A0A1W2PQD8" "S72L2" " RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2 OS=Homo sapiens OX=9606 GN=SSU72L2 PE=3 SV=1"
"865" "sp" "O00148" "DX39A" " ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2"
"866" "sp" "O75425" "MSPD3" " Motile sperm domain-containing protein 3 OS=Homo sapiens OX=9606 GN=MOSPD3 PE=1 SV=1"
"867" "sp" "Q8NGP2" "OR8J1" " Olfactory receptor 8J1 OS=Homo sapiens OX=9606 GN=OR8J1 PE=2 SV=2"
"868" "sp" "Q9HD34" "LYRM4" " LYR motif-containing protein 4 OS=Homo sapiens OX=9606 GN=LYRM4 PE=1 SV=1"
"869" "sp" "Q9Y2S6" "TMA7" " Translation machinery-associated protein 7 OS=Homo sapiens OX=9606 GN=TMA7 PE=1 SV=1"
"870" "sp" "E9PQ53" "NDUCR" " NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2 OS=Homo sapiens OX=9606 GN=NDUFC2-KCTD14 PE=1 SV=1"
"871" "sp" "O00757" "F16P2" " Fructose-1,6-bisphosphatase isozyme 2 OS=Homo sapiens OX=9606 GN=FBP2 PE=1 SV=2"
"872" "sp" "P06899" "H2B1J" " Histone H2B type 1-J OS=Homo sapiens OX=9606 GN=H2BC11 PE=1 SV=3"
"873" "sp" "P23511" "NFYA" " Nuclear transcription factor Y subunit alpha OS=Homo sapiens OX=9606 GN=NFYA PE=1 SV=2"
"874" "sp" "P62312" "LSM6" " U6 snRNA-associated Sm-like protein LSm6 OS=Homo sapiens OX=9606 GN=LSM6 PE=1 SV=1"
"875" "sp" "P80723" "BASP1" " Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2"
"876" "sp" "Q9H4R4" "CT191" " Putative nuclear receptor corepressor 1-like protein NCOR1P1 OS=Homo sapiens OX=9606 GN=NCOR1P1 PE=5 SV=1"
"877" "sp" "Q9HCD5" "NCOA5" " Nuclear receptor coactivator 5 OS=Homo sapiens OX=9606 GN=NCOA5 PE=1 SV=2"
"878" "sp" "P06850" "CRF" " Corticoliberin OS=Homo sapiens OX=9606 GN=CRH PE=1 SV=1"
"879" "sp" "P63313" "TYB10" " Thymosin beta-10 OS=Homo sapiens OX=9606 GN=TMSB10 PE=1 SV=2"
"880" "sp" "Q06609" "RAD51" " DNA repair protein RAD51 homolog 1 OS=Homo sapiens OX=9606 GN=RAD51 PE=1 SV=1"
"881" "sp" "Q15916" "ZBTB6" " Zinc finger and BTB domain-containing protein 6 OS=Homo sapiens OX=9606 GN=ZBTB6 PE=1 SV=1"
"882" "sp" "Q8N339" "MT1M" " Metallothionein-1M OS=Homo sapiens OX=9606 GN=MT1M PE=1 SV=2"
"883" "sp" "Q8NGF6" "O10W1" " Olfactory receptor 10W1 OS=Homo sapiens OX=9606 GN=OR10W1 PE=2 SV=1"
"884" "sp" "Q9UBK5" "HCST" " Hematopoietic cell signal transducer OS=Homo sapiens OX=9606 GN=HCST PE=1 SV=1"
"885" "sp" "Q9Y3B4" "SF3B6" " Splicing factor 3B subunit 6 OS=Homo sapiens OX=9606 GN=SF3B6 PE=1 SV=1"
"886" "tr" "A0A075B6W4" "A0A075B6W4" " T cell receptor alpha joining 46 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ46 PE=4 SV=1"
"887" "sp" "P31689" "DNJA1" " DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2"
"888" "sp" "P60328" "KR123" " Keratin-associated protein 12-3 OS=Homo sapiens OX=9606 GN=KRTAP12-3 PE=1 SV=2"
"889" "sp" "P80511" "S10AC" " Protein S100-A12 OS=Homo sapiens OX=9606 GN=S100A12 PE=1 SV=2"
"890" "sp" "P0DW81" "PACMP" " Poly-ADP-ribosylation-amplifying and CtIP-maintaining micropeptide OS=Homo sapiens OX=9606 GN=MARCHF6-DT PE=1 SV=1"
"891" "sp" "P80294" "MT1H" " Metallothionein-1H OS=Homo sapiens OX=9606 GN=MT1H PE=1 SV=1"
"892" "sp" "Q12870" "TCF15" " Transcription factor 15 OS=Homo sapiens OX=9606 GN=TCF15 PE=2 SV=3"
"893" "sp" "Q71RC9" "SMIM5" " Small integral membrane protein 5 OS=Homo sapiens OX=9606 GN=SMIM5 PE=1 SV=2"
"894" "sp" "Q96GC5" "RM48" " 39S ribosomal protein L48, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL48 PE=1 SV=2"
"895" "sp" "Q96LB4" "VATG3" " V-type proton ATPase subunit G 3 OS=Homo sapiens OX=9606 GN=ATP6V1G3 PE=1 SV=1"
"896" "sp" "Q9BRT3" "MIEN1" " Migration and invasion enhancer 1 OS=Homo sapiens OX=9606 GN=MIEN1 PE=1 SV=1"
"897" "sp" "Q9HA38" "ZMAT3" " Zinc finger matrin-type protein 3 OS=Homo sapiens OX=9606 GN=ZMAT3 PE=1 SV=1"
"898" "sp" "O14598" "VCY1" " Testis-specific basic protein Y 1 OS=Homo sapiens OX=9606 GN=VCY1B PE=1 SV=1"
"899" "sp" "P42127" "ASIP" " Agouti-signaling protein OS=Homo sapiens OX=9606 GN=ASIP PE=1 SV=1"
"900" "sp" "P62979" "RS27A" " Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2"
"901" "sp" "Q06136" "KDSR" " 3-ketodihydrosphingosine reductase OS=Homo sapiens OX=9606 GN=KDSR PE=1 SV=1"
"902" "sp" "Q8N6K0" "TEX29" " Testis-expressed protein 29 OS=Homo sapiens OX=9606 GN=TEX29 PE=1 SV=1"
"903" "sp" "Q96E39" "RMXL1" " RNA binding motif protein, X-linked-like-1 OS=Homo sapiens OX=9606 GN=RBMXL1 PE=1 SV=1"
"904" "sp" "Q96RB7" "OR5MB" " Olfactory receptor 5M11 OS=Homo sapiens OX=9606 GN=OR5M11 PE=2 SV=2"
"905" "sp" "Q9NP97" "DLRB1" " Dynein light chain roadblock-type 1 OS=Homo sapiens OX=9606 GN=DYNLRB1 PE=1 SV=3"
"906" "sp" "A0A1B0GUY1" "MRCOL" " MARCO-like protein OS=Homo sapiens OX=9606 GN=MARCOL PE=2 SV=1"
"907" "sp" "A0A286YEY9" "SCGR1" " Small cysteine and glycine repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=SCYGR1 PE=1 SV=1"
"908" "sp" "Q08117" "TLE5" " TLE family member 5 OS=Homo sapiens OX=9606 GN=TLE5 PE=1 SV=4"
"909" "sp" "Q8NH95" "O13C6" " Putative olfactory receptor 13C6 OS=Homo sapiens OX=9606 GN=OR13C6P PE=5 SV=2"
"910" "sp" "Q8WYN3" "CSRN3" " Cysteine/serine-rich nuclear protein 3 OS=Homo sapiens OX=9606 GN=CSRNP3 PE=2 SV=1"
"911" "sp" "Q96KF2" "PRAC1" " Small nuclear protein PRAC1 OS=Homo sapiens OX=9606 GN=PRAC1 PE=2 SV=1"
"912" "sp" "A6NHG4" "DDTL" " D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1"
"913" "sp" "P19957" "ELAF" " Elafin OS=Homo sapiens OX=9606 GN=PI3 PE=1 SV=3"
"914" "sp" "Q71UI9" "H2AV" " Histone H2A.V OS=Homo sapiens OX=9606 GN=H2AZ2 PE=1 SV=3"
"915" "sp" "Q8NHB7" "OR5K1" " Olfactory receptor 5K1 OS=Homo sapiens OX=9606 GN=OR5K1 PE=2 SV=2"
"916" "sp" "Q9BW72" "HIG2A" " HIG1 domain family member 2A, mitochondrial OS=Homo sapiens OX=9606 GN=HIGD2A PE=1 SV=1"
"917" "sp" "Q9UC06" "ZNF70" " Zinc finger protein 70 OS=Homo sapiens OX=9606 GN=ZNF70 PE=2 SV=2"
"918" "sp" "A0A024R1R8" "TMA7B" " Translation machinery-associated protein 7B OS=Homo sapiens OX=9606 GN=TMA7B PE=3 SV=1"
"919" "sp" "A0A1B0GTR3" "CX05A" " Uncharacterized protein CXorf51A OS=Homo sapiens OX=9606 GN=CXorf51A PE=4 SV=1"
"920" "sp" "A8MZ97" "CB074" " Uncharacterized protein C2orf74 OS=Homo sapiens OX=9606 GN=C2orf74 PE=1 SV=4"
"921" "sp" "C0HM01" "RBRP" " Putative RNA-binding regulatory peptide OS=Homo sapiens OX=9606 GN=SEPTIN14P20 PE=5 SV=1"
"922" "sp" "O95670" "VATG2" " V-type proton ATPase subunit G 2 OS=Homo sapiens OX=9606 GN=ATP6V1G2 PE=1 SV=1"
"923" "sp" "P06753" "TPM3" " Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=2"
"924" "sp" "P0C604" "OR4A8" " Olfactory receptor 4A8 OS=Homo sapiens OX=9606 GN=OR4A8 PE=3 SV=1"
"925" "sp" "P0DMU7" "CT456" " Cancer/testis antigen family 45 member A6 OS=Homo sapiens OX=9606 GN=CT45A6 PE=2 SV=1"
"926" "sp" "Q8IUE6" "H2A2B" " Histone H2A type 2-B OS=Homo sapiens OX=9606 GN=H2AC21 PE=1 SV=3"
"927" "sp" "Q96FX2" "DPH3" " Diphthamide biosynthesis protein 3 OS=Homo sapiens OX=9606 GN=DPH3 PE=1 SV=1"
"928" "sp" "Q96FZ7" "CHMP6" " Charged multivesicular body protein 6 OS=Homo sapiens OX=9606 GN=CHMP6 PE=1 SV=3"
"929" "sp" "Q9H9H4" "VP37B" " Vacuolar protein sorting-associated protein 37B OS=Homo sapiens OX=9606 GN=VPS37B PE=1 SV=1"
"930" "sp" "A6NKN8" "PC4L1" " Purkinje cell protein 4-like protein 1 OS=Homo sapiens OX=9606 GN=PCP4L1 PE=3 SV=3"
"931" "sp" "O75380" "NDUS6" " NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS6 PE=1 SV=1"
"932" "sp" "Q02325" "PLGB" " Plasminogen-like protein B OS=Homo sapiens OX=9606 GN=PLGLB2 PE=3 SV=1"
"933" "sp" "Q15388" "TOM20" " Mitochondrial import receptor subunit TOM20 homolog OS=Homo sapiens OX=9606 GN=TOMM20 PE=1 SV=1"
"934" "sp" "Q2TAP0" "GOG7B" " Golgin subfamily A member 7B OS=Homo sapiens OX=9606 GN=GOLGA7B PE=1 SV=2"
"935" "sp" "Q3LI62" "KR204" " Putative keratin-associated protein 20-4 OS=Homo sapiens OX=9606 GN=KRTAP20-4 PE=3 SV=1"
"936" "sp" "Q8IX90" "SKA3" " Spindle and kinetochore-associated protein 3 OS=Homo sapiens OX=9606 GN=SKA3 PE=1 SV=2"
"937" "sp" "Q9H321" "VCX3B" " Variable charge X-linked protein 3B OS=Homo sapiens OX=9606 GN=VCX3B PE=2 SV=4"
"938" "sp" "Q9NR55" "BATF3" " Basic leucine zipper transcriptional factor ATF-like 3 OS=Homo sapiens OX=9606 GN=BATF3 PE=1 SV=1"
"939" "tr" "A0A075B6U9" "A0A075B6U9" " T cell receptor alpha joining 2 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ2 PE=4 SV=1"
"940" "sp" "A0A286YF01" "SCGR7" " Small cysteine and glycine repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=SCYGR7 PE=1 SV=1"
"941" "sp" "P53567" "CEBPG" " CCAAT/enhancer-binding protein gamma OS=Homo sapiens OX=9606 GN=CEBPG PE=1 SV=1"
"942" "sp" "P82932" "RT06" " 28S ribosomal protein S6, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS6 PE=1 SV=3"
"943" "sp" "Q02363" "ID2" " DNA-binding protein inhibitor ID-2 OS=Homo sapiens OX=9606 GN=ID2 PE=1 SV=1"
"944" "tr" "A0A075B6Z0" "A0A075B6Z0" " T cell receptor alpha joining 22 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ22 PE=4 SV=1"
"945" "sp" "P62847" "RS24" " 40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1"
"946" "sp" "P82970" "HMGN5" " High mobility group nucleosome-binding domain-containing protein 5 OS=Homo sapiens OX=9606 GN=HMGN5 PE=1 SV=1"
"947" "sp" "Q4VC39" "HIG2B" " Putative HIG1 domain family member 2B OS=Homo sapiens OX=9606 GN=HIGD2B PE=5 SV=1"
"948" "sp" "Q8N6N2" "TTC9B" " Tetratricopeptide repeat protein 9B OS=Homo sapiens OX=9606 GN=TTC9B PE=2 SV=1"
"949" "sp" "Q8WYK2" "JDP2" " Jun dimerization protein 2 OS=Homo sapiens OX=9606 GN=JDP2 PE=1 SV=1"
"950" "sp" "Q99878" "H2A1J" " Histone H2A type 1-J OS=Homo sapiens OX=9606 GN=H2AC14 PE=1 SV=3"
